order_id,customer_id,salesperson_id,order_date,order_status,payment_method,delivery_region,total_items,total_gross,total_discount,total_net,total_cogs,total_profit,first_name,last_name,customer_region,city,gender,age,salesperson_name,order_year,order_month,order_month_name,order_quarter,order_day_of_week,order_hour,is_weekend,is_returned,is_completed,is_high_value,age_group,order_tier,processed_at
588,136,11,2024-11-17 14:39:00,Returned,Cash,Volta,7,1502.29,0.0,1502.29,844.31,657.98,Selorm,Asante,Western,Prestea,M,64,Nana Acheampong,2024,11,November,4,Sunday,14,True,True,False,False,55+,Large,2026-04-08 09:31:11.149366
596,379,15,2023-04-30 09:57:00,Returned,POS Card,Ashanti,1,13.58,0.0,13.58,7.78,5.8,Afia,Adjei,Northern,Savelugu,F,31,Kwabena Ofori,2023,4,April,2,Sunday,9,True,True,False,False,26-35,Micro,2026-04-08 09:31:11.149366
605,365,13,2023-05-15 21:18:00,Returned,Bank Transfer,Northern,5,181.1,0.0,181.1,111.6,69.5,Dela,Amoah,Ashanti,Obuasi,M,61,Fiifi Turkson,2023,5,May,2,Monday,21,False,True,False,False,55+,Small,2026-04-08 09:31:11.149366
613,410,15,2024-12-24 07:59:00,Returned,Mobile Money,Eastern,5,533.23,0.0,533.23,341.04,192.19,Fiifi,Sarpong,Eastern,Suhum,M,61,Kwabena Ofori,2024,12,December,4,Tuesday,7,False,True,False,False,55+,Medium,2026-04-08 09:31:11.149366
665,138,18,2024-02-22 17:14:00,Returned,Mobile Money,Greater Accra,2,132.72,0.0,132.72,94.68,38.04,Esi,Turkson,Western,Tarkwa,F,65,Esi Tetteh,2024,2,February,1,Thursday,17,False,True,False,False,55+,Small,2026-04-08 09:31:11.149366
668,126,18,2024-01-18 15:10:00,Returned,Credit,Volta,7,1719.39,0.0,1719.39,1150.86,568.53,Kwadwo,Darko,Volta,Ho,M,19,Esi Tetteh,2024,1,January,1,Thursday,15,False,True,False,False,18-25,Large,2026-04-08 09:31:11.149366
686,66,9,2024-08-25 09:47:00,Returned,Cash,Greater Accra,5,4182.85,209.14,3973.71,2734.85,1238.86,Adjoa,Asare,Eastern,Nkawkaw,F,33,Kojo Frimpong,2024,8,August,3,Sunday,9,True,True,False,True,26-35,Large,2026-04-08 09:31:11.149366
725,65,17,2024-10-06 19:17:00,Returned,POS Card,Volta,2,119.06,0.0,119.06,88.86,30.2,Ama,Appiah,Northern,Savelugu,F,46,Kwadwo Appiah,2024,10,October,4,Sunday,19,True,True,False,False,46-55,Small,2026-04-08 09:31:11.149366
740,401,13,2023-11-03 11:52:00,Returned,Credit,Western,5,1140.91,16.82,1124.09,710.99,413.1,Afia,Dziedzic,Ashanti,Konongo,F,30,Fiifi Turkson,2023,11,November,4,Friday,11,False,True,False,False,26-35,Large,2026-04-08 09:31:11.149366
805,482,13,2024-01-19 14:25:00,Returned,Bank Transfer,Eastern,4,871.04,6.64,864.4,514.82,349.58,Esi,Sarpong,Eastern,Koforidua,F,39,Fiifi Turkson,2024,1,January,1,Friday,14,False,True,False,False,36-45,Medium,2026-04-08 09:31:11.149366
811,309,19,2024-11-28 09:16:00,Returned,Cash,Ashanti,3,1151.16,0.0,1151.16,820.77,330.39,Abena,Mensah,Central,Mankessim,F,64,Yoofi Agyeman,2024,11,November,4,Thursday,9,False,True,False,False,55+,Large,2026-04-08 09:31:11.149366
860,50,12,2024-11-26 20:10:00,Returned,Cash,Greater Accra,7,257.36,6.79,250.57,167.48,83.09,Kojo,Owusu,Volta,Ho,M,32,Araba Quaye,2024,11,November,4,Tuesday,20,False,True,False,False,26-35,Small,2026-04-08 09:31:11.149366
874,88,14,2024-06-02 11:23:00,Returned,Mobile Money,Central,11,3477.4,195.97,3281.43,2254.65,1026.78,Kweku,Bonsu,Eastern,Nkawkaw,M,46,Maame Asare,2024,6,June,2,Sunday,11,True,True,False,False,46-55,Large,2026-04-08 09:31:11.149366
878,154,7,2023-08-31 07:12:00,Returned,Credit,Ashanti,5,1440.17,0.0,1440.17,857.63,582.54,Yoofi,Asante,Northern,Savelugu,M,59,Kweku Adjei,2023,8,August,3,Thursday,7,False,True,False,False,55+,Large,2026-04-08 09:31:11.149366
903,264,12,2023-03-18 12:53:00,Returned,POS Card,Ashanti,2,525.46,26.27,499.19,333.78,165.41,Kwame,Darko,Eastern,Suhum,M,18,Araba Quaye,2023,3,March,1,Saturday,12,True,True,False,False,18-25,Small,2026-04-08 09:31:11.149366
941,446,17,2024-02-12 14:43:00,Returned,Cash,Central,3,211.74,0.0,211.74,132.75,78.99,Maame,Acheampong,Northern,Yendi,F,29,Kwadwo Appiah,2024,2,February,1,Monday,14,False,True,False,False,26-35,Small,2026-04-08 09:31:11.149366
950,91,9,2023-12-31 10:46:00,Returned,Credit,Western,11,1224.07,54.14,1169.93,751.01,418.92,Adwoa,Sarpong,Western,Tarkwa,F,38,Kojo Frimpong,2023,12,December,4,Sunday,10,True,True,False,False,36-45,Large,2026-04-08 09:31:11.149366
960,7,1,2023-10-02 09:40:00,Returned,Mobile Money,Central,4,2589.32,258.93,2330.39,1574.6,755.79,Selorm,Ofori,Greater Accra,Achimota,M,54,Kwame Asante,2023,10,October,4,Monday,9,False,True,False,False,46-55,Large,2026-04-08 09:31:11.149366
998,385,10,2023-04-06 11:00:00,Returned,Credit,Western,3,271.5,27.15,244.35,192.84,51.51,Adjoa,Agyeman,Eastern,Suhum,F,48,Adwoa Sarpong,2023,4,April,2,Thursday,11,False,True,False,False,46-55,Small,2026-04-08 09:31:11.149366
999,372,12,2023-07-19 12:48:00,Returned,Mobile Money,Eastern,5,1918.6,0.0,1918.6,1367.95,550.65,Efua,Amoah,Northern,Yendi,F,59,Araba Quaye,2023,7,July,3,Wednesday,12,False,True,False,False,55+,Large,2026-04-08 09:31:11.149366
1011,333,5,2023-09-20 19:56:00,Returned,Credit,Eastern,15,5066.05,258.93,4807.12,3030.16,1776.96,Akosua,Agyeman,Ashanti,Obuasi,F,64,Yaw Amoah,2023,9,September,3,Wednesday,19,False,True,False,True,55+,Large,2026-04-08 09:31:11.149366
1013,263,20,2024-11-27 09:28:00,Returned,Bank Transfer,Western,3,315.75,15.79,299.96,230.01,69.95,Ama,Darko,Central,Winneba,F,32,Abla Dziedzic,2024,11,November,4,Wednesday,9,False,True,False,False,26-35,Small,2026-04-08 09:31:11.149366
1027,353,6,2024-03-05 14:30:00,Returned,POS Card,Central,9,3134.63,13.27,3121.36,2168.21,953.15,Nana,Ofori,Eastern,Nkawkaw,M,29,Ama Owusu,2024,3,March,1,Tuesday,14,False,True,False,False,26-35,Large,2026-04-08 09:31:11.149366
1067,352,9,2023-07-17 11:11:00,Returned,Mobile Money,Ashanti,7,3228.77,0.0,3228.77,2341.8,886.97,Kwabena,Darko,Ashanti,Ejisu,M,62,Kojo Frimpong,2023,7,July,3,Monday,11,False,True,False,False,55+,Large,2026-04-08 09:31:11.149366
1092,245,16,2024-06-18 15:15:00,Returned,Bank Transfer,Central,1,98.08,0.0,98.08,63.15,34.93,Ama,Frimpong,Northern,Yendi,F,43,Akua Bonsu,2024,6,June,2,Tuesday,15,False,True,False,False,36-45,Micro,2026-04-08 09:31:11.149366
1126,148,4,2024-08-03 19:50:00,Returned,POS Card,Western,9,2169.95,108.5,2061.45,1276.1,785.35,Ato,Adjei,Northern,Savelugu,M,39,Akosua Darko,2024,8,August,3,Saturday,19,True,True,False,False,36-45,Large,2026-04-08 09:31:11.149366
1127,77,17,2024-12-02 09:29:00,Returned,Credit,Northern,18,3461.15,161.66,3299.49,2070.75,1228.74,Edem,Mensah,Ashanti,Obuasi,M,33,Kwadwo Appiah,2024,12,December,4,Monday,9,False,True,False,False,26-35,Large,2026-04-08 09:31:11.149366
1154,149,4,2023-07-25 14:30:00,Returned,POS Card,Western,6,8149.08,821.07,7328.01,5789.13,1538.88,Yaw,Agyeman,Ashanti,Kumasi,M,32,Akosua Darko,2023,7,July,3,Tuesday,14,False,True,False,True,26-35,Enterprise,2026-04-08 09:31:11.149366
1179,35,6,2023-09-15 13:45:00,Returned,Mobile Money,Western,5,590.94,0.0,590.94,361.48,229.46,Yoofi,Acheampong,Central,Winneba,M,29,Ama Owusu,2023,9,September,3,Friday,13,False,True,False,False,26-35,Medium,2026-04-08 09:31:11.149366
1225,192,16,2023-12-10 13:57:00,Returned,Bank Transfer,Northern,1,283.91,0.0,283.91,180.1,103.81,Esi,Quaye,Greater Accra,Kasoa,F,39,Akua Bonsu,2023,12,December,4,Sunday,13,True,True,False,False,36-45,Small,2026-04-08 09:31:11.149366
1229,490,3,2024-01-26 19:41:00,Returned,Cash,Greater Accra,4,8096.42,401.29,7695.13,5763.75,1931.38,Araba,Amoah,Western,Prestea,F,43,Kofi Boateng,2024,1,January,1,Friday,19,False,True,False,True,36-45,Enterprise,2026-04-08 09:31:11.149366
1262,339,2,2023-11-22 10:53:00,Returned,Mobile Money,Central,7,740.52,0.0,740.52,460.72,279.8,Akosua,Mensah,Greater Accra,Kasoa,F,53,Abena Mensah,2023,11,November,4,Wednesday,10,False,True,False,False,46-55,Medium,2026-04-08 09:31:11.149366
1281,376,8,2023-12-06 13:13:00,Returned,Mobile Money,Central,8,11129.52,64.26,11065.26,7897.28,3167.98,Afia,Amoah,Eastern,Koforidua,F,64,Efua Ansah,2023,12,December,4,Wednesday,13,False,True,False,True,55+,Enterprise,2026-04-08 09:31:11.149366
1288,52,9,2023-11-06 11:29:00,Returned,Credit,Ashanti,7,2416.24,107.1,2309.14,1595.11,714.03,Kwadwo,Tetteh,Western,Takoradi,M,43,Kojo Frimpong,2023,11,November,4,Monday,11,False,True,False,False,36-45,Large,2026-04-08 09:31:11.149366
1289,48,8,2024-04-27 13:18:00,Returned,Credit,Eastern,3,1696.66,0.0,1696.66,1109.22,587.44,Kwabena,Asare,Volta,Aflao,M,33,Efua Ansah,2024,4,April,2,Saturday,13,True,True,False,False,26-35,Large,2026-04-08 09:31:11.149366
1311,320,13,2024-08-21 18:19:00,Returned,Credit,Western,1,107.1,10.71,96.39,67.82,28.57,Kwabena,Dziedzic,Volta,Aflao,M,46,Fiifi Turkson,2024,8,August,3,Wednesday,18,False,True,False,False,46-55,Micro,2026-04-08 09:31:11.149366
1320,432,7,2023-11-21 15:05:00,Returned,Bank Transfer,Central,5,1005.75,0.0,1005.75,625.1,380.65,Efua,Agyeman,Volta,Hohoe,F,26,Kweku Adjei,2023,11,November,4,Tuesday,15,False,True,False,False,26-35,Large,2026-04-08 09:31:11.149366
1387,76,20,2023-03-20 12:23:00,Returned,Mobile Money,Greater Accra,7,270.85,24.61,246.24,162.24,84.0,Abena,Asare,Greater Accra,Kasoa,F,59,Abla Dziedzic,2023,3,March,1,Monday,12,False,True,False,False,55+,Small,2026-04-08 09:31:11.149366
1421,37,14,2024-06-16 14:55:00,Returned,Credit,Eastern,3,8025.84,1203.88,6821.96,5719.5,1102.46,Yoofi,Boateng,Eastern,Suhum,M,33,Maame Asare,2024,6,June,2,Sunday,14,True,True,False,True,26-35,Enterprise,2026-04-08 09:31:11.149366
1475,446,11,2023-05-24 19:49:00,Returned,Bank Transfer,Greater Accra,9,3358.62,156.27,3202.35,2289.98,912.37,Maame,Acheampong,Northern,Yendi,F,29,Nana Acheampong,2023,5,May,2,Wednesday,19,False,True,False,False,26-35,Large,2026-04-08 09:31:11.149366
1498,216,13,2023-01-17 07:24:00,Returned,Mobile Money,Volta,2,767.44,0.0,767.44,547.18,220.26,Afia,Acheampong,Western,Axim,F,23,Fiifi Turkson,2023,1,January,1,Tuesday,7,False,True,False,False,18-25,Medium,2026-04-08 09:31:11.149366
1499,34,14,2023-12-30 12:19:00,Returned,Bank Transfer,Volta,3,49.53,0.0,49.53,29.46,20.07,Kojo,Adjei,Greater Accra,Achimota,M,21,Maame Asare,2023,12,December,4,Saturday,12,True,True,False,False,18-25,Micro,2026-04-08 09:31:11.149366
1504,480,17,2023-06-11 13:11:00,Returned,Cash,Ashanti,3,49.53,0.0,49.53,29.46,20.07,Efua,Sarpong,Eastern,Suhum,F,47,Kwadwo Appiah,2023,6,June,2,Sunday,13,True,True,False,False,46-55,Micro,2026-04-08 09:31:11.149366
1524,329,1,2023-03-06 19:23:00,Returned,Cash,Eastern,4,66.04,0.0,66.04,39.28,26.76,Dela,Acheampong,Central,Winneba,M,37,Kwame Asante,2023,3,March,1,Monday,19,False,True,False,False,36-45,Micro,2026-04-08 09:31:11.149366
1582,449,17,2023-12-05 10:36:00,Returned,Cash,Volta,3,851.73,85.17,766.56,540.3,226.26,Kofi,Quaye,Volta,Aflao,M,42,Kwadwo Appiah,2023,12,December,4,Tuesday,10,False,True,False,False,36-45,Medium,2026-04-08 09:31:11.149366
1583,442,1,2024-07-06 17:37:00,Returned,Mobile Money,Western,3,1071.0,0.0,1071.0,751.47,319.53,Kwabena,Adjei,Ashanti,Konongo,M,60,Kwame Asante,2024,7,July,3,Saturday,17,True,True,False,False,55+,Large,2026-04-08 09:31:11.149366
1622,86,9,2023-03-10 09:34:00,Returned,POS Card,Western,9,2274.24,0.0,2274.24,1624.91,649.33,Fiifi,Tetteh,Ashanti,Konongo,M,39,Kojo Frimpong,2023,3,March,1,Friday,9,False,True,False,False,36-45,Large,2026-04-08 09:31:11.149366
1640,375,6,2023-08-18 09:18:00,Returned,POS Card,Northern,6,1000.23,0.0,1000.23,614.9,385.33,Yoofi,Ansah,Central,Mankessim,M,25,Ama Owusu,2023,8,August,3,Friday,9,False,True,False,False,18-25,Large,2026-04-08 09:31:11.149366
1663,497,16,2024-08-08 09:28:00,Returned,Credit,Greater Accra,8,3545.58,24.92,3520.66,2168.18,1352.48,Yoofi,Adjei,Volta,Keta,M,63,Akua Bonsu,2024,8,August,3,Thursday,9,False,True,False,False,55+,Large,2026-04-08 09:31:11.149366
1691,229,1,2023-03-23 17:48:00,Returned,Mobile Money,Northern,13,888.61,51.96,836.65,593.46,243.19,Yoofi,Boateng,Greater Accra,Kasoa,M,51,Kwame Asante,2023,3,March,1,Thursday,17,False,True,False,False,46-55,Medium,2026-04-08 09:31:11.149366
1702,222,14,2024-05-13 16:46:00,Returned,Cash,Eastern,8,1207.15,23.28,1183.87,754.41,429.46,Ato,Appiah,Western,Axim,M,51,Maame Asare,2024,5,May,2,Monday,16,False,True,False,False,46-55,Large,2026-04-08 09:31:11.149366
1718,422,7,2024-09-11 21:34:00,Returned,Credit,Ashanti,2,132.72,13.27,119.45,94.68,24.77,Akua,Agyeman,Central,Assin Fosu,F,19,Kweku Adjei,2024,9,September,3,Wednesday,21,False,True,False,False,18-25,Small,2026-04-08 09:31:11.149366
1734,389,8,2024-05-05 07:02:00,Returned,Cash,Ashanti,3,522.67,0.0,522.67,346.77,175.9,Edem,Amoah,Central,Assin Fosu,M,37,Efua Ansah,2024,5,May,2,Sunday,7,True,True,False,False,36-45,Medium,2026-04-08 09:31:11.149366
1750,26,1,2023-01-01 20:01:00,Returned,Mobile Money,Central,3,315.75,0.0,315.75,230.01,85.74,Akosua,Turkson,Ashanti,Ejisu,F,52,Kwame Asante,2023,1,January,1,Sunday,20,True,True,False,False,46-55,Small,2026-04-08 09:31:11.149366
1780,348,16,2024-10-12 16:37:00,Returned,POS Card,Greater Accra,8,1893.72,0.0,1893.72,1220.08,673.64,Kweku,Frimpong,Volta,Ho,M,41,Akua Bonsu,2024,10,October,4,Saturday,16,True,True,False,False,36-45,Large,2026-04-08 09:31:11.149366
1787,304,1,2023-04-08 07:43:00,Returned,POS Card,Ashanti,9,2827.08,118.77,2708.31,1586.0,1122.31,Kwadwo,Agyeman,Volta,Hohoe,M,34,Kwame Asante,2023,4,April,2,Saturday,7,True,True,False,False,26-35,Large,2026-04-08 09:31:11.149366
1817,355,16,2023-05-21 14:21:00,Returned,Credit,Greater Accra,7,1398.53,0.0,1398.53,865.27,533.26,Ama,Owusu,Western,Prestea,F,18,Akua Bonsu,2023,5,May,2,Sunday,14,True,True,False,False,18-25,Large,2026-04-08 09:31:11.149366
1818,129,9,2024-06-13 16:40:00,Returned,Bank Transfer,Greater Accra,10,1713.32,42.47,1670.85,1141.26,529.59,Fiifi,Agyeman,Ashanti,Obuasi,M,47,Kojo Frimpong,2024,6,June,2,Thursday,16,False,True,False,False,46-55,Large,2026-04-08 09:31:11.149366
1888,436,16,2023-12-17 16:46:00,Returned,Bank Transfer,Western,3,765.45,0.0,765.45,508.11,257.34,Kojo,Adjei,Ashanti,Kumasi,M,64,Akua Bonsu,2023,12,December,4,Sunday,16,True,True,False,False,55+,Medium,2026-04-08 09:31:11.149366
1919,402,6,2024-12-17 09:00:00,Returned,POS Card,Volta,4,614.86,0.0,614.86,390.76,224.1,Yaw,Mensah,Eastern,Koforidua,M,58,Ama Owusu,2024,12,December,4,Tuesday,9,False,True,False,False,55+,Medium,2026-04-08 09:31:11.149366
1940,437,1,2023-03-20 09:55:00,Returned,Mobile Money,Greater Accra,2,485.06,24.26,460.8,305.12,155.68,Kwame,Ofori,Eastern,Akim Oda,M,42,Kwame Asante,2023,3,March,1,Monday,9,False,True,False,False,36-45,Small,2026-04-08 09:31:11.149366
1976,203,5,2023-02-17 18:04:00,Returned,Bank Transfer,Northern,8,5851.16,43.92,5807.24,4125.19,1682.05,Afia,Amoah,Volta,Aflao,F,23,Yaw Amoah,2023,2,February,1,Friday,18,False,True,False,True,18-25,Enterprise,2026-04-08 09:31:11.149366
1981,251,16,2024-11-12 20:42:00,Returned,POS Card,Ashanti,7,1499.8,19.62,1480.18,882.81,597.37,Esi,Turkson,Central,Mankessim,F,48,Akua Bonsu,2024,11,November,4,Tuesday,20,False,True,False,False,46-55,Large,2026-04-08 09:31:11.149366
1992,2,5,2023-07-07 17:31:00,Returned,Bank Transfer,Central,3,184.05,0.0,184.05,106.32,77.73,Yoofi,Bonsu,Greater Accra,Accra,M,50,Yaw Amoah,2023,7,July,3,Friday,17,False,True,False,False,46-55,Small,2026-04-08 09:31:11.149366
2007,357,12,2024-08-12 11:00:00,Returned,POS Card,Eastern,16,14697.04,885.03,13812.01,8884.34,4927.67,Araba,Appiah,Eastern,Nkawkaw,F,32,Araba Quaye,2024,8,August,3,Monday,11,False,True,False,True,26-35,Enterprise,2026-04-08 09:31:11.149366
2016,285,17,2023-09-30 18:33:00,Returned,Credit,Northern,3,184.05,18.4,165.65,106.32,59.33,Akosua,Asare,Ashanti,Ejisu,F,51,Kwadwo Appiah,2023,9,September,3,Saturday,18,True,True,False,False,46-55,Small,2026-04-08 09:31:11.149366
2021,118,18,2024-12-12 09:57:00,Returned,Mobile Money,Greater Accra,5,1455.25,72.76,1382.49,813.75,568.74,Adjoa,Mensah,Western,Axim,F,27,Esi Tetteh,2024,12,December,4,Thursday,9,False,True,False,False,26-35,Large,2026-04-08 09:31:11.149366
2054,81,12,2024-02-04 11:40:00,Returned,Bank Transfer,Eastern,5,13376.4,668.82,12707.58,9532.5,3175.08,Kofi,Sarpong,Volta,Ho,M,52,Araba Quaye,2024,2,February,1,Sunday,11,True,True,False,True,46-55,Enterprise,2026-04-08 09:31:11.149366
2056,151,7,2023-12-15 15:43:00,Returned,Mobile Money,Ashanti,2,141.16,21.17,119.99,88.5,31.49,Ewurama,Owusu,Greater Accra,Accra,F,33,Kweku Adjei,2023,12,December,4,Friday,15,False,True,False,False,26-35,Small,2026-04-08 09:31:11.149366
2079,48,9,2023-12-10 12:26:00,Returned,Bank Transfer,Greater Accra,4,745.0,0.0,745.0,466.32,278.68,Kwabena,Asare,Volta,Aflao,M,33,Kojo Frimpong,2023,12,December,4,Sunday,12,True,True,False,False,26-35,Medium,2026-04-08 09:31:11.149366
2081,220,14,2023-12-12 10:31:00,Returned,Mobile Money,Eastern,5,526.25,0.0,526.25,383.35,142.9,Akua,Turkson,Volta,Hohoe,F,20,Maame Asare,2023,12,December,4,Tuesday,10,False,True,False,False,18-25,Medium,2026-04-08 09:31:11.149366
2100,500,7,2023-11-14 16:39:00,Returned,Cash,Volta,7,421.96,0.0,421.96,267.24,154.72,Edem,Turkson,Greater Accra,Accra,M,47,Kweku Adjei,2023,11,November,4,Tuesday,16,False,True,False,False,46-55,Small,2026-04-08 09:31:11.149366
2120,101,19,2023-07-01 20:40:00,Returned,POS Card,Central,3,178.59,0.0,178.59,133.29,45.3,Yaw,Asare,Greater Accra,Tema,M,62,Yoofi Agyeman,2023,7,July,3,Saturday,20,True,True,False,False,55+,Small,2026-04-08 09:31:11.149366
